character,alternative_names
Vyasa,"Vyasa, Krishna-Dwaipayana Vyasa,  Dwaipayana Vyasa, "
Yudhishthira,"Kanka, Ajatasatru, Dharma, Dharmaraja, King Yudhishthira, O Yudhishthira, Yudhishthira O, Devaka"
Duryodhana,"Duryodhanas, King Duryodhana, Suyodhana"
Indrasena,
Indra,"Indras, Devendra, Devaraja"
Vaisampayana,Vaishampayana
Bhishma,"Bhishmas, Devavrata, Pitamaha"
Arjuna,"Brihannala, Dhananjaya, O Arjuna, O Partha, Partha, Phalguna, Savyasachin, Kiritin, Swetavahana"
Kaurava,"Kauravas, O Kauravas, Okaurava"
Bhima,"Vallabha, Bhimas, Bhimasena, Bhimasenas, Vikarna, Vrikodara, Vallava"
Mahishasura,
Dhrishtadyumna,Dhrishtadyumnas
Mahadeva,"Maheswara, Nilakantha, Nilakanthas, Rudra, Sankara, Shakra"
Vidura,"Kshatta, O Kshatta"
Draupadi,"Sairindhri, Yajnaseni, Panchali"
Nakula,"Granthika, Nakulas, O Nakula "
Narada,
Sakra,
Drona,Dronacharya
Karna,"Vrisha, Radheya, Suryaputra, Anga, Karnas, Vikartana, O Karna"
Kripa,
Janardana,"Govinda, Achyuta, Janarddana, Jishnu, Kesava, Keshava, Krishna, Krishnas, Madhava, O Kesava, O Krishna, Vasu, Vasus"
Virata,"Matsya king, Viratas"
Sikhandin,
Sanjaya,
Rama,Ramas
Vishnu,"Hari, Narayana"
Yama,
Drupada,"Drupadas, King Drupada"
Asura,
Bhrigu,
Surya,
Janamejaya,King Janamejaya
Aswatthaman,Aswatthama
Radha,Radhas
Yama,Yamas
Sahadeva,"Tanrtipala, Sahadevas, O Sahadeva, Tantripal"
Kritavarman,Kritavarma
Suta,
Nala,
Sauti,
Sattwa,
Yuyudhana,
Soma,
Vrihaspati,
Savitri,
Yoga,"Yogin, Yogins"
Somakas,
Kichaka,
Manu,
Nagas,
Vasava,
Satyaki,
Purandara,
Skanda,
Srinjaya,
Jamadagni,Jamadagnis
Kasi,
Subhadra,
Lakshmana,
Suka,
Galava,
Devayani,
Shikhandi,
Jiva,
Agastya,
Kali,
Susarman,
Matali,
Uttara,
Lomasa,
Amrita,
Vala,
Sraddhas,
Sachi,
Vali,
Bhava,
Yaksha,
Jaya,
Sudras,
Ravana,Ravanas
Sala,
Janaka,
Duhshasana,"Duhshasanas, Dussasana"
Rishi Narada,
Vinata,
Daruka,
Angiras,
Chyavana,
Asuras,
Kunti,Pritha
Sakuni,"Durmatinatha, son of Suvala, Suvala"
Dhritarashtra,
Santanu,
Parasara,
Valhika,
Kalingas,
Agni,
Maya,
Naga,
Rahu,
Yayati,
Hridika,
Takshaka,
Kasyapa,
Atri,
Anuvinda,
Adhyatma,
Vichitravirya,
Ghatotkacha,Rakshasa Kumara
Kekayas,
Jaratkaru,
Vaka,
Sarmishtha,
Durmukha,
Kapila,
Sagara,
Sattwa Rajas,
Chandramas,
Jarasandha,
Kaikeyas,
Vrihannala,
Duhsasana,
Marutta,
Airavata,
Dasaratha,
Sukra,
Hara,
Kacha,
Varanavata,
Vipula,
Rohini,
Sree,
Vahuka,
Adhiratha,
Sakuntala,
Rukmini,
Salya,
Jayadratha,Jayadrathas
Pancala,
Chandala,
Gandhara,
Sesha,
Mahendra,
Satanika,
Chitrasena,
Kiritin,
Pandya,
Vasishtha,
Paka,
Aditya,
Vinda,
Avidya,
Angada,
Sushena,
Somadatta,
Yajnasena,
Purochana,
Vibhishana,
Vrihadvala,
Sita,
Ajatasatru,
Bhagadatta,Bhagadatta O
Gayatri,
Samadhi,
Danava,
Dhatri,
Kusika,
Sankha,
Aniruddha,
Vyana,
Mandhatri,
Prana,
Devas,
Yuyutsu,
Daksha,
Kosalas,
Baladeva,
Iravat,
Kumara,
Dushmanta,
Aditi,
Usinara,
Sairindhri,
Gandharas,
Jajali,
Astika,
Satyavan,
Kshetrajna,
Samvarana,
Pradyumna,
Kundadhara,
Sudhanwan,
Kshetra,
Dwaipayana,
Saunaka,
Aruna,
Paurava,
Salwa,
Valadeva,
Maitreya,
Sankarshana,
Dasarhas,
Uluka,
Asta,
Uma,
Madra,
Kartikeya,
Sarabha,
Brahmas,
Vibhatsu,
Raghu,
Sabha,
Gavalgana,
Swayamvara,
Somaka,
Kadru,
Mainaka,
Thither,
Vaisravana,
Lokapalas,
Chekitana,
Varshneya,
Yavakri,
Salmali,
Samana,
Jalasandha,
Dhristadyumna,
Pulastya,
Vrishaparvan,
Viswamitra,
Tapati,
Dhaumya,
Yudhisthira,
Asita,
Kirata,
Satyakis,
Aswins,
Menaka,
Vasuki,
Hrishikesa,
Swadha,
Vidhatri,
Nahusha,
Kuntibhoja,
Akrura,
Kamvoja,
Kumbhakarna,
Pandu,
Dyumatsena,
Kaitabha,
Likhita,
Lopamudra,
Kusa,
Sudeva,
Ambika,
Bhadra,
Saudasa,
Pavaka,
Kailasa,
Vahlika,
Kalpas,
Kshemadhurti,
Maharatha,
Kanwa,
Rantideva,
Kratu,
Rishis,
Yadavas,
Siddhas,
Makara,
Sauvira,
Vindhya,
Vaitarani,
Surasenas,
Bhurisravas,
Vidya,
Rishabha,
Dhundhu,
Atharvan,
Viswarupa,
Rajadharman,
Gana,
Vena,
Pranava,
Sura,
Nandana,
Chitrangada,
Gautami,
Kuru,
Bhagiratha,
Sini,
Ahuka,
Indradyumna,
Dwaitavana,
Vasumanas,
Muchukunda,
Katirava,
Tuladhara,
Pasupata,
Tripura,
Jara,
Mitra,
Jarita,
Samva,
Mandakini,
Pushya,
Vami,
Aswattha,
Kuvalaswa,
Sattwata,
Srutayush,
Sula,
Vabhruvahana,
Ritwik,
Sringin,
Dilipa,
Ugrasena,
Vasusena,
Ashtaka,
Mahabhisha,
Swetaketu,
Saurin,
Pundarika,
Vamadeva,
Manibhadra,
Viswavasu,
Daradas,
Suras,
Devala,
Dussala,
Visakha,
Kinsuka,
Pragjyotishas,
Vrishaka,
Shalyas,
Rishi Kasyapa,
Jayatsena,
Durjaya,
Gandhari,
Salyas,
Vayavya,
Hidimva,
Blest,
Devaki,
Gada,
Viswakarma,
Bhanu,
Dandadhara,
Kshatta,
Nabhaga,
Akshara,
Hotravahana,
Vrisha,
Vahuda,
Agastyas,
Vritra,
Rishyasringas,
Mudgala,
Vrishadarbha,
Tara,
Vaishnava,
Jatayu,
Vabhru,
Hiranyavarman,
Parigha,
Yuvanaswa,
Ashvatthama,
Garhasthya,
Vyavahara,
Palita,
Purusha,
Yatudhani,
Jamadagnya,
Malaya,
Dhruva,
Viswakarman,
Vayu,
Aindra,
Madri,
Gautama Kripa,
Raivata,
Parvata,
Manasa,
Vasudeva,
Kaunteya,
Srutarvan,
Vibhandaka,
Saindhavas,
Dakshas,
Kaikeyi,
Tashtri,
Madravati,
Vaisya,
Haryyaswa,
Dhrishtaketu,
Durmarshana,
Rathas,
Sikhandins,
Alamvusha,
Gotamas,
Taraka,
Utathya,
Ganesa,
Sukanya,
Mahodara,
Vrihadratha,
Kripi,
Sikhandini,
Chitraratha,
Varchas,
Marichi,
Vadava,
Rochamana,
Kratha,
Suratha,
Sanatkumara,
Sivi,
Devapi,
Ganga,
Vyushitaswa,
Aryaman,
Gotama,
Kanika,
Sudharman,
Dimvaka,
Srutakarman,
Sutas,
Kapardin,
Bhangasura,
Kesini,
Karttika,
Atiratra,
Brahmasara,
Pannagas,
Samvartaka,
Kakutstha,
Sannyasin,
Kamandalu,
Maricha,
Chhandas,
Yudhamanyu,
Srutayudha,
Artayani,
Srutayus,
Kampanas,
Gita,
Vyaghradatta,
Ashvatthamas,
Subala,
Satyasena,
Devasthana,
Virupa,
Prakriti,
Panchasikha,
Gandhamadana,
Ghritachi,
Gaurmukha,
Jaimini,
Prayaga,
Rishi Angiras,
Kavya,
Rishi Vasishtha,
Kartavirya,
Agneya,
Agnivesya,
Ulupi,
Abhimanyu,
Bhaga,
Visala,
Yajnaseni,
Sannyasins,
Damayantis,
Koti,
Dandaka,
Twashtri,
Ansuman,
Devadatta,
Markandeya,
Sugriva,
Dasarnas,
Dussaha,
Samsaptaka,
Valahaka,
Supratika,
Charu,
Ketu,
Yuyudhanas,
Dwita,
Vrishadarbhi,
Vikrita,
Janadeva,
Syumarasmi,
Brahmarshi,
Hidimba,
Balarama,
Kokila,
Arka,
Garuda,
Garudas,
Krisa,
Samika,
Nikumbha,
Hansa,
Duhsala,
Saman,
Pratardana,
Madayanti,
King Drupada,
Bhargava,
Vidura O,
Swetaki,
Jaritari,
Sini Satyaki,
Datyuhas,
Damayanti,
Jamvu,
Agnishtoma,
Deva,
Ilwala,
Haihaya,
Vira,
Mada,
Chaitra,
Sujata,
Jatasuras,
Arshtishena,
Maghavan,
Kuvera,
Raudra,
Seduka,
Pingala,
Krittika,
Brahmacharin,
Gunakesi,
Saraswati,
Chitrasena O,
Samyamani,
Draupadi O,
Satyaki O,
,
Isana,
Ghatotkaca,
Candramas,
Vahikas,
Valaka,
Bhurishrava,
Suvarnashthivin,
Udumvara,
Kshupa,
Manki,
Satyavat,
Yati,
Kshara,
Dakshina,
Tapah,
Apasadas,
Havi,
